,GitHub Username,hw1-tools
0,PoulomiPradhan,0.0
1,0912Perry,0.0
2,1001YilinXu,0.0
3,AWV2804,0.0
4,Ababaovo,0.0
5,AbdullahHaroon1604,0.0
6,AidanJacobsen,0.0
7,AimeeFiedler,0.0
8,Ajaysunil2003,0.0
9,AkashK321,0.0
10,AkshatV01,0.0
11,AkshathRaghav,0.0
12,Alwyn-Jacob,0.0
13,Amaanster1234,0.0
14,Andrew1OOO,0.0
15,AndrewDile,0.0
16,AndrewWang01,0.0
17,AniruddhSuresh,0.0
18,Anskimos,0.0
19,Arjun-M2003,0.0
20,ArnavS123,0.0
21,AthyoP30,0.0
22,Basil070104,0.0
23,Betaser,0.0
24,BrightKnight02,0.0
25,C-Niemo,0.0
26,CammyJ150,0.0
27,CarlosTsai2020,0.0
28,Castor-Yuan,0.0
29,CecilieWiuff,0.0
30,Cfennen04,0.0
31,Chewonpark,0.0
32,ChristianNonemaker,0.0
33,Christopher-Tan,0.0
34,ConjaLawrence,0.0
35,CynCasta,0.0
36,DavidLee0539,0.0
37,DemirKaya7,0.0
38,DogyuRyu,0.0
39,ELStuckey,0.0
40,Echo145,0.0
41,Ehamblen,0.0
42,Elipsonic,0.0
43,Emily-Hess,0.0
44,Emir1096,0.0
45,Emri0047,0.0
46,Erulke17,0.0
47,Esharaqaj,0.0
48,FahYen,0.0
49,Ganthry,0.0
50,GeorgiaGriffin,0.0
51,GraysonNocera,0.0
52,Gustafs-purdue,0.0
53,HaoYang35459053,0.0
54,Henry3035,0.0
55,Howar373,0.0
56,Ian2441,0.0
57,JDWeiler2004,0.0
58,JT32Walt,0.0
59,Jack-Willard,0.0
60,JackBlair87,0.0
61,Jacob-Liam-Albaugh,0.0
62,JacobAdam30,0.0
63,Jaken717,0.0
64,JakeyLaww,0.0
65,JamesMareach,0.0
66,Jdouvas18,0.0
67,Jjmessen,0.0
68,John-3215,0.0
69,JorgeH309,0.0
70,JoshKirb,0.0
71,Joshua106728,0.0
72,JosieT17,0.0
73,JustinSamuel522,0.0
74,Kerbidiah,0.0
75,Lexie13,0.0
76,LiChungYang,0.0
77,LiuyuanxinLYX,0.0
78,LuisitoD,0.0
79,Luyang-Hou,0.0
80,ManuelPosada44,0.0
81,Marty2707,0.0
82,McSqueez,0.0
83,Mizzmox,0.0
84,Murad777-phy,0.0
85,NHuang58,0.0
86,Ngollins,0.0
87,NicholasTanz,0.0
88,OmPatty,0.0
89,Osulliv6,0.0
90,OwenMcCandlish,0.0
91,PizzaKing1,0.0
92,Purva2003,0.0
93,Quincy-T,0.0
94,RBastian32,0.0
95,RMRattray,0.0
96,Raggarw94,0.0
97,Rainyryan,0.0
98,ReesaHronchek,0.0
99,Repartee41,0.0
100,Riccil04,0.0
101,Roilua,0.0
102,RoweTracy,0.0
103,Ryken15,0.0
104,S3BW03,0.0
105,Sarcasticsquadd,0.0
106,SavanPatel9,0.0
107,Scarrizo528,0.0
108,SethGame,0.0
109,SethSchaefer5314,0.0
110,SethThMc,0.0
111,SheiverThorn,0.0
112,Shivoysharma,0.0
113,Shounak007,0.0
114,Shredder1603,0.0
115,ShubhamSKA,0.0
116,ShwetaKatakdhond,0.0
117,Skaggs02,0.0
118,Skavac,0.0
119,Smehrn,0.0
120,SocialistJotaro,0.0
121,Sykes7195,0.0
122,TCFSH69,0.0
123,Tanuj602,0.0
124,TeganJohnson,0.0
125,Therinzine,0.0
126,ThomasRFiedler,0.0
127,Tianyin01,0.0
128,ToeLyan,0.0
129,Tridentinus,0.0
130,Vecklr,0.0
131,WalnutNinja01,0.0
132,XiaohanYu1,0.0
133,Yejia995,0.0
134,Yin220,0.0
135,ZIan-PAn,0.0
136,ZafarMH,0.0
137,Zian-Pan1,0.0
138,aPottratz,0.0
139,aakash-bathini,0.0
140,aciccare1,0.0
141,adchoudh,0.0
142,adisinha1,0.0
143,advaithh04,0.0
144,afrels,0.0
145,agandav,0.0
146,ahebbani,0.0
147,ahurd67,0.0
148,ailijevs,0.0
149,aiyanalam31,0.0
150,aiyengar6,0.0
151,ajdiandreth,0.0
152,akupka24,0.0
153,alberta999,0.0
154,alecandrulis,0.0
155,alexa224P,0.0
156,alexayl,0.0
157,ali-191,0.0
158,alixqueen,0.0
159,allen662,0.0
160,alyall17,0.0
161,amirgagarin,0.0
162,andre1433,0.0
163,andrewhelgren21,0.0
164,areidelbach,0.0
165,aryan372-cpu,0.0
166,aryansri0208,0.0
167,atalegao,0.0
168,av17998,0.0
169,avazhayi,0.0
170,badhribharathusha,0.0
171,banksonkassie,0.0
172,bddiaz6,0.0
173,beastylele,0.0
174,benhanan3,0.0
175,brndencho26,0.0
176,brucechu613,0.0
177,bsilarsk,0.0
178,carey59,0.0
179,carmonaliya,0.0
180,cavounis,0.0
181,cbradtmu,0.0
182,cdbutler9,0.0
183,cdian19,0.0
184,cecilie0112,0.0
185,ceshock,0.0
186,chamdanedu,0.0
187,chen4186,0.0
188,choe26,0.0
189,cjanu,0.0
190,collinshanks,0.0
191,cortesb3,0.0
192,csojka2004,0.0
193,ctmcgeary,0.0
194,cullennatpurdue,0.0
195,danielkimcho,0.0
196,davidasousa,0.0
197,davinleepurdue,0.0
198,dbrannic,0.0
199,deesj-purdue,0.0
200,definitelyka1ze,0.0
201,dfall33,0.0
202,dhanushgop03,0.0
203,dhayusari,0.0
204,dhruvshah725,0.0
205,dieramoro,0.0
206,djhowells,0.0
207,dmanojlovic,0.0
208,dweintz,0.0
209,dyang54321,0.0
210,dylanemanning,0.0
211,easchult,0.0
212,eazboilermaker,0.0
213,ebaird492,0.0
214,ebartcza,0.0
215,echiao7,0.0
216,ellagores,0.0
217,ellaherr,0.0
218,emersonmaddock,0.0
219,emmaalmeida,0.0
220,esengsanith,0.0
221,esong21,0.0
222,ethansu10,0.0
223,etran130,0.0
224,evanb2021,0.0
225,evanmiller620,0.0
226,evanstonestreet,0.0
227,ezekielulrich,0.0
228,fergu157,0.0
229,gautamknambiar,0.0
230,georgemeng915,0.0
231,giodegeronimo,0.0
232,glenscheng,0.0
233,graceriegle,0.0
234,gray344,0.0
235,grayduf,0.0
236,gu256,0.0
237,gv912,0.0
238,harshvardhan-sharma,0.0
239,hatterj,0.0
240,hbaroudi7,0.0
241,hbtasdem,0.0
242,hedgie0402,0.0
243,hess105,0.0
244,hgebke,0.0
245,hhxyyy,0.0
246,hjun-c,0.0
247,hong346,0.0
248,howardlee9454,0.0
249,hsieh91,0.0
250,iamericmin,0.0
251,iankincaid,0.0
252,ibhutta22,0.0
253,ichiran8,0.0
254,ishanat,0.0
255,ishau1,0.0
256,iusynin,0.0
257,iyer131,0.0
258,jacks908,0.0
259,jacobtermaat,0.0
260,jakescherer,0.0
261,jdimagg725,0.0
262,jdix4,0.0
263,jeramiegomez,0.0
264,jiftesam,0.0
265,jingema99,0.0
266,jisnider,0.0
267,jlinnane-cs,0.0
268,johnBrami,0.0
269,johns39-pu,0.0
270,jone2337,0.0
271,joshklug,0.0
272,joshleblancc,0.0
273,joyxqwang,0.0
274,juhipatil04,0.0
275,kamaung7,0.0
276,kellerm2,0.0
277,kim2648,0.0
278,kim3946,0.0
279,koopa35,0.0
280,kshitijMshah30,0.0
281,lam155,0.0
282,lamberjb,0.0
283,lanceroark,0.0
284,larkins-andrew,0.0
285,ldiazgra,0.0
286,lenzl11,0.0
287,lguerdat,0.0
288,li4174,0.0
289,lilly-ludlow03,0.0
290,lkay129,0.0
291,lugo8,0.0
292,luyunghsiang,0.0
293,mackb918,0.0
294,maddieflanagan,0.0
295,maddywilley,0.0
296,maggio0,0.0
297,margaretswang,0.0
298,masoningrum,0.0
299,mathur61,0.0
300,mathur63,0.0
301,matthewl121,0.0
302,matykubon,0.0
303,mcdoweb,0.0
304,mchuang67,0.0
305,meenameen1,0.0
306,mehr4ever,0.0
307,micha3ll3e,0.0
308,michellewu0115,0.0
309,mill3058,0.0
310,mjdawes,0.0
311,monaaljasem,0.0
312,morri628,0.0
313,muwatse,0.0
314,nabudahab,0.0
315,nandanasub,0.0
316,navyadatla,0.0
317,ngrzegor,0.0
318,nguye800,0.0
319,nholzmey,0.0
320,njestus,0.0
321,nkilmer99,0.0
322,nmgbodil,0.0
323,noahgregory2025,0.0
324,nwisnie,0.0
325,obearr,0.0
326,olvera1-1,0.0
327,parthivreddy,0.0
328,parvk11,0.0
329,pastidia,0.0
330,pate1672,0.0
331,pnabrzys,0.0
332,polarbearbo,0.0
333,pputhuss,0.0
334,quinn137,0.0
335,rachelchen22,0.0
336,reneeshirvanian,0.0
337,rheapathak1,0.0
338,rpakrasi,0.0
339,rrbathina,0.0
340,rrxue05,0.0
341,runair13,0.0
342,ryanwurtz,0.0
343,sadman059,0.0
344,saleksov,0.0
345,salkilan,0.0
346,saloh2704,0.0
347,sampra04,0.0
348,sande280,0.0
349,santy963,0.0
350,sarkar51,0.0
351,sbohrt,0.0
352,sdrshn-nmbr,0.0
353,seoyoungcho213,0.0
354,shhmow,0.0
355,shriyagup,0.0
356,siri-y,0.0
357,smuranjan1,0.0
358,snyde330,0.0
359,sophiapim,0.0
360,spraguem15,0.0
361,srini153,0.0
362,sriva107,0.0
363,ssrini160,0.0
364,suhonchoe,0.0
365,t-shay-18,0.0
366,tantle27,0.0
367,tconcan,0.0
368,tenbeakilled,0.0
369,tharpep,0.0
370,thatisVV,0.0
371,tj5k,0.0
372,tongda-wu,0.0
373,tpadungk,0.0
374,trentdma,0.0
375,troyc124,0.0
376,tschool78,0.0
377,tylerwuthrich,0.0
378,tysonjmak,0.0
379,usriniva913,0.0
380,varnonsrinivasan,0.0
381,varun0630,0.0
382,vasque55,0.0
383,vdudhaiy,0.0
384,vitreoussilica,0.0
385,wagnermr0,0.0
386,white871,0.0
387,wilkanic,0.0
388,willott29,0.0
389,willtao135,0.0
390,xaviik4,0.0
391,yagrawal001,0.0
392,yashsng44,0.0
393,yoshiki92416,0.0
394,ysawhney,0.0
395,zacharyau,0.0
396,zachbarna,0.0
397,zakn619,0.0
398,zakolano,0.0
399,zhan5101,0.0
400,zhaoyingpan,0.0
401,zz00jerry,0.0
